index,district,year,month,avg_temp_max,avg_temp_min,avg_humidity,total_precipitation,total_sunshine_hours
0,Abim,2025,6,28.39,17.58,67.7,92.1,315.87
1,Adjumani,2025,6,30.94,19.57,69.17,82.7,324.84
2,Agago,2025,6,30.82,18.78,66.0,40.3,314.71
3,Alebtong,2025,6,29.41,18.54,71.87,106.3,312.32
4,Amolatar,2025,6,28.23,19.78,74.17,76.0,315.23
5,Amudat,2025,6,30.78,19.71,50.7,14.0,325.27
6,Amuria,2025,6,29.03,18.68,71.73,92.5,323.82
7,Amuru,2025,6,28.49,18.51,72.87,113.8,323.01
8,Apac,2025,6,28.71,19.02,71.83,103.3,307.49
9,Arua,2025,6,28.19,18.5,67.93,87.4,312.74
10,Budaka,2025,6,27.41,18.01,77.43,103.0,313.25
11,Bududa,2025,6,25.39,16.89,77.77,148.3,305.99
12,Bugiri,2025,6,26.9,17.57,79.5,62.3,312.27
13,Bugweri,2025,6,27.16,17.56,79.2,74.5,310.73
14,Buhweju,2025,6,22.33,13.93,71.7,91.0,298.02
15,Buikwe,2025,6,24.93,18.41,80.9,65.7,304.66
16,Bukedea,2025,6,29.85,18.9,65.83,80.8,316.9
17,Bukomansimbi,2025,6,26.43,17.2,75.17,72.9,312.46
18,Bukwo,2025,6,25.07,14.57,61.2,83.7,322.32
19,Bulambuli,2025,6,30.42,18.84,64.8,70.4,314.24
20,Buliisa,2025,6,27.96,22.24,78.03,112.4,310.25
21,Bundibugyo,2025,6,28.64,19.46,70.4,26.8,316.6
22,Bunyangabu,2025,6,24.53,16.04,64.73,66.6,315.68
23,Busia,2025,6,27.09,17.08,76.83,76.9,314.09
24,Butaleja,2025,6,27.67,17.97,76.67,109.7,307.88
25,Butambala,2025,6,25.52,16.98,80.73,108.6,315.77
26,Butebo,2025,6,28.44,18.3,74.53,61.2,315.55
27,Buvuma,2025,6,24.15,20.53,78.83,108.5,315.51
28,Buyende,2025,6,27.65,20.11,74.4,58.1,317.79
29,Dokolo,2025,6,27.64,18.51,76.5,91.5,312.92
30,Gulu,2025,6,28.5,18.62,72.03,132.8,322.81
31,Hoima,2025,6,27.57,17.84,74.33,88.2,306.73
32,Ibanda,2025,6,26.18,16.28,67.63,73.7,304.08
33,Iganga,2025,6,27.06,17.46,79.17,74.5,310.73
34,Isingiro,2025,6,28.18,17.26,68.57,29.2,307.11
35,Jinja,2025,6,25.61,18.66,81.4,91.4,311.84
36,Kabale,2025,6,22.35,13.89,73.6,55.6,295.8
37,Kabarole,2025,6,25.0,16.93,67.03,101.7,316.5
38,Kaberamaido,2025,6,27.41,18.37,78.43,123.1,319.67
39,Kagadi,2025,6,27.47,17.04,73.67,64.7,303.76
40,Kakumiro,2025,6,26.86,16.24,74.77,89.0,316.24
41,Kalangala,2025,6,23.8,20.02,79.17,132.8,316.5
42,Kaliro,2025,6,28.1,18.06,77.43,39.3,312.46
43,Kalungu,2025,6,26.2,17.44,75.03,77.8,315.89
44,Kampala,2025,6,25.0,17.88,80.2,65.2,312.47
45,Kamuli,2025,6,27.21,18.03,77.1,54.9,314.99
46,Kamwenge,2025,6,27.15,16.82,71.77,105.1,308.29
