district,date,temp_max,temp_min,precipitation,humidity,sunshine,month
Abim,2025-06-01,28.1,16.7,0.1,67,40393.03,2025_06
Abim,2025-06-02,30.4,17.5,0.0,55,40393.94,2025_06
Abim,2025-06-03,29.4,18.1,5.9,67,38380.78,2025_06
Abim,2025-06-04,28.5,17.2,1.0,72,40509.11,2025_06
Abim,2025-06-05,27.4,17.5,14.0,76,33168.99,2025_06
Abim,2025-06-06,27.8,17.0,7.5,73,40282.76,2025_06
Abim,2025-06-07,28.5,15.6,0.1,66,40397.77,2025_06
Abim,2025-06-08,31.0,18.5,0.1,57,39785.12,2025_06
Abim,2025-06-09,31.2,17.6,0.4,62,37017.99,2025_06
Abim,2025-06-10,31.4,18.6,0.0,58,39702.3,2025_06
Abim,2025-06-11,29.7,18.1,0.3,68,40049.87,2025_06
Abim,2025-06-12,29.7,19.1,0.6,62,33317.08,2025_06
Abim,2025-06-13,29.0,17.7,0.5,68,40047.83,2025_06
Abim,2025-06-14,28.2,18.4,9.0,74,38477.91,2025_06
Abim,2025-06-15,27.4,18.5,0.1,68,40873.69,2025_06
Abim,2025-06-16,27.7,17.9,1.4,68,40637.9,2025_06
Abim,2025-06-17,26.1,17.7,0.2,64,31143.61,2025_06
Abim,2025-06-18,25.9,17.7,4.3,75,30293.94,2025_06
Abim,2025-06-19,23.3,16.7,19.2,89,22192.85,2025_06
Abim,2025-06-20,25.7,16.7,0.3,78,33179.96,2025_06
Abim,2025-06-21,27.8,17.0,0.7,67,41088.76,2025_06
Abim,2025-06-22,29.4,17.3,0.2,62,40713.94,2025_06
Abim,2025-06-23,28.8,17.5,0.0,62,40579.5,2025_06
Abim,2025-06-24,28.0,16.9,2.0,70,40809.95,2025_06
Abim,2025-06-25,29.9,16.0,0.2,64,41164.2,2025_06
Abim,2025-06-26,29.4,18.1,0.0,53,40784.29,2025_06
Abim,2025-06-27,30.1,17.6,0.0,58,40771.4,2025_06
Abim,2025-06-28,29.4,19.2,6.2,61,40264.7,2025_06
Abim,2025-06-29,26.7,17.9,16.8,83,33932.66,2025_06
Abim,2025-06-30,25.8,17.0,1.0,84,36772.84,2025_06
Adjumani,2025-06-01,29.6,19.8,1.3,77,34848.89,2025_06
Adjumani,2025-06-02,30.8,18.8,0.0,69,41468.63,2025_06
Adjumani,2025-06-03,31.0,19.9,0.0,70,41205.6,2025_06
Adjumani,2025-06-04,31.4,20.2,0.0,69,41069.61,2025_06
Adjumani,2025-06-05,29.8,20.3,6.7,72,38193.3,2025_06
Adjumani,2025-06-06,29.5,18.6,4.1,78,41702.72,2025_06
Adjumani,2025-06-07,29.7,18.6,12.0,75,41721.83,2025_06
Adjumani,2025-06-08,30.9,18.8,0.0,74,39168.49,2025_06
Adjumani,2025-06-09,32.2,19.7,0.0,64,41026.73,2025_06
